"Format","AIM CSV File"
"Venue","Imola"
"Vehicle","YamahaR6"
"User","AIM driver"
"Data Source","AIM Data Logger"
"Comment",""
"Date","01/11/07"
"Time","17:27:21"
"Sample Rate","10"
"Duration","558.356"
"Segment","Session"
"Beacon Markers","156.036, 274.506, 392.720, 558.356"
"Segment Times","2:36.036","1:58.470","1:58.214","2:45.636"

"Time","Distance","Speed_1","Fork","Shock","Steering Angle","Gyro","Brake pressure","LatAcc","LoggerTemp","Battery","RPM","TPS","MAP","Dfarf","Enrichment Pos","Enrichment Neg","Speed Front","Speed Rear","Slip","Osaslip","PPS","Terog Lower","Terog Upper","Terog Base","Terog","Spark Adv Base","Spark Adv","Lambda","KFuel Learn","Phase Inj Lowe","Phase Inj Uppe","Kinj Upper %","Batt Volt Key","Slip Calc","Map Sel","T° Water","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Speed_1","Fork","Shock","Steering Angle","Gyro","Brake pressure","LatAcc","LoggerTemp","Battery","RPM","TPS","MAP","Dfarf","Enrichment Pos","Enrichment Neg","Speed Front","Speed Rear","Slip","Osaslip","PPS","Terog Lower","Terog Upper","Terog Base","Terog","Spark Adv Base","Spark Adv","Lambda","KFuel Learn","Phase Inj Lowe","Phase Inj Uppe","Kinj Upper %","Batt Volt Key","Slip Calc","Map Sel","T° Water","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","km/h","mm","mm","deg","deg/s","bar","g","°C","V","rpm","%","mbar","#","us","us","km/h","km/h","%","deg","%","us","#","us","us","deg","deg","#","#","deg","deg","%","V","#","#","°C","km/h","#","g","g","deg","deg","deg/s","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45",

0.000,0.000,0.000000,31.439804,7.544740,-6.471708,-5.546769,-0.390625,0.000000,30.194733,11.640015,2776.000000,1.568627,649.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.251949,3.900000,1.000000,100.431374,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.100,0.000,0.000000,31.439804,7.544740,-6.556583,-3.373385,-0.463867,0.006865,30.194733,11.677917,2645.000000,1.568627,652.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.234371,3.900000,1.000000,100.117645,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.200,0.000,0.000000,31.521151,7.544740,-7.723613,-5.546769,-0.317383,0.011442,30.194733,11.715820,2631.000000,1.568627,655.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.181637,3.900000,1.000000,99.803925,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.300,0.000,0.000000,31.439804,7.544740,-8.572361,-8.111363,-0.415039,0.036613,30.194733,11.753723,2651.000000,1.568627,651.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.199215,3.900000,1.000000,99.803925,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.400,0.000,0.000000,31.399132,7.544740,-9.781828,-4.467189,-0.244141,0.054920,30.316803,11.791626,2636.000000,1.568627,659.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.216793,3.900000,1.000000,99.803925,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.500,0.000,0.000000,31.399132,7.341377,-11.521763,-6.120659,-0.439453,0.084668,30.316803,11.829529,2728.000000,1.568627,652.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.287106,3.900000,1.000000,99.803925,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.600,0.000,0.000000,31.399132,7.361714,-12.922198,-8.519881,-0.512695,0.153318,30.316803,11.867432,2770.000000,1.568627,643.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.216793,3.900000,1.000000,99.803925,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.700,0.000,0.000000,31.358459,7.361714,-13.028292,-9.063838,-0.415039,0.011841,30.316803,11.905334,2813.000000,1.568627,651.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.269527,3.900000,1.000000,99.803925,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.800,0.000,0.000000,31.480476,7.382050,-12.094668,-9.074015,-0.366211,0.020555,30.316803,11.943237,2800.000000,1.568627,640.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.410152,3.900000,1.000000,99.803925,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
0.900,0.000,0.000000,31.521151,7.382050,-11.012513,-7.462924,-0.341797,0.032125,30.316803,11.981140,2853.000000,1.568627,645.000000,0.000000,0.000000,0.000000,31.330999,32.352001,4.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992188,0.000000,0.000000,0.000000,0.000000,12.251949,3.900000,1.000000,99.490204,0.000000,0.000000,0.000000,0.000000,-0.005524,-0.011048,-0.022096,44.344492617762,11.714988850482,19.38
